state_and_capital,geo_zone,date,average_price
Akwa Ibom,South South,2021-12-01,167.8
Akwa Ibom,South South,2022-01-01,168.36363636363637
Akwa Ibom,South South,2022-02-01,168.36363636363637
Akwa Ibom,South South,2022-03-01,197.30769230769232
Akwa Ibom,South South,2022-04-01,194.53
Akwa Ibom,South South,2022-05-01,180.75
Akwa Ibom,South South,2022-06-01,176
Akwa Ibom,South South,2022-07-01,186.25
Akwa Ibom,South South,2022-08-01,185
Akwa Ibom,South South,2022-09-01,187.78
Akwa Ibom,South South,2022-10-01,188.454545454545
Akwa Ibom,South South,2022-11-01,189.33
Akwa Ibom,South South,2022-12-01,200.25
Akwa Ibom,South South,2023-01-01,319
Akwa Ibom,South South,2023-02-01,255.5
Akwa Ibom,South South,2023-03-01,305.555555555556
Akwa Ibom,South South,2023-04-01,295.875
Akwa Ibom,South South,2023-05-01,239
Akwa Ibom,South South,2023-06-01,541
Anambra,South East,2019-01-01,144.9
Anambra,South East,2019-02-01,144.86666666666667
Anambra,South East,2019-03-01,144.57142857142858
Anambra,South East,2019-04-01,146.9047619047619
Anambra,South East,2019-05-01,145.615384615385
Anambra,South East,2019-06-01,145.35
Anambra,South East,2019-07-01,146.153846153846
Anambra,South East,2019-08-01,145.41
Anambra,South East,2019-09-01,146.538461538462
Anambra,South East,2019-10-01,146.15384615384616
Anambra,South East,2019-11-01,145
Anambra,South East,2019-12-01,144.85714285714286
Anambra,South East,2020-01-01,144.87
Anambra,South East,2020-02-01,144.78571428571428
Anambra,South East,2020-03-01,145
Anambra,South East,2020-04-01,126.78571428571429
Anambra,South East,2020-05-01,124.84615384615384
Anambra,South East,2020-06-01,125
Anambra,South East,2020-07-01,144.17142857142855
Anambra,South East,2020-08-01,148.92857142857142
Anambra,South East,2020-09-01,162.6153846153846
Anambra,South East,2020-10-01,163
Anambra,South East,2020-11-01,169.76923076923077
Anambra,South East,2020-12-01,164.33333333333334
Anambra,South East,2021-01-01,165.28571428571428
Anambra,South East,2021-02-01,166.8
Anambra,South East,2021-03-01,175.857142857143
Anambra,South East,2021-04-01,169.75
Anambra,South East,2021-05-01,168.27272727272728
Anambra,South East,2021-06-01,168
Anambra,South East,2021-07-01,167.66666666666666
Anambra,South East,2021-08-01,166
Anambra,South East,2021-09-01,162.692307692308
Anambra,South East,2021-10-01,165
Anambra,South East,2021-11-01,170.846153846154
Anambra,South East,2021-12-01,166.36363636363637
Anambra,South East,2022-01-01,169.33333333333334
Anambra,South East,2022-02-01,184.0909090909091
Anambra,South East,2022-03-01,204.666666666667
Anambra,South East,2022-04-01,170.33
Anambra,South East,2022-05-01,181.33333333333334
Anambra,South East,2022-06-01,177.14285714285714
Anambra,South East,2022-07-01,185.66666666666666
Anambra,South East,2022-08-01,194.52380952380952
Anambra,South East,2022-09-01,191.67
Anambra,South East,2022-10-01,192.6
Anambra,South East,2022-11-01,206.11
Anambra,South East,2022-12-01,204.666666666667
Anambra,South East,2023-01-01,306.94444444444446
Anambra,South East,2023-02-01,310.8333333333333
Anambra,South East,2023-03-01,286.1111111111111
Anambra,South East,2023-04-01,271.818181818182
Anambra,South East,2023-05-01,224.28571428571428
Anambra,South East,2023-06-01,534.444444444444
Bauchi,North East,2019-01-01,145.25
Bauchi,North East,2019-02-01,144.5
Bauchi,North East,2019-03-01,143.88888888888889
Bauchi,North East,2019-04-01,145.666666666667
Bauchi,North East,2019-05-01,144.5
Bauchi,North East,2019-06-01,145.5
Bauchi,North East,2019-07-01,143.9
Bauchi,North East,2019-08-01,145
Bauchi,North East,2019-09-01,144
Bauchi,North East,2019-10-01,144
Bauchi,North East,2019-11-01,148.21428571428572
Bauchi,North East,2019-12-01,144.47619047619
Bauchi,North East,2020-01-01,146.56
Bauchi,North East,2020-02-01,145.71428571428572
Bauchi,North East,2020-03-01,145.28571428571428
Bauchi,North East,2020-04-01,139.125
Bauchi,North East,2020-05-01,136.1
Bauchi,North East,2020-06-01,130.181818181818
Bauchi,North East,2020-07-01,143.083333333333
Bauchi,North East,2020-08-01,148.66666666666666
Bauchi,North East,2020-09-01,161.14285714285714
Bauchi,North East,2020-10-01,160.375
Bauchi,North East,2020-11-01,161.77777777777777
Bauchi,North East,2020-12-01,162.57142857142858
Bauchi,North East,2021-01-01,163.375
Bauchi,North East,2021-02-01,163.5
Bauchi,North East,2021-03-01,164
Bauchi,North East,2021-04-01,163.22222222222223
Bauchi,North East,2021-05-01,163.75
Bauchi,North East,2021-06-01,166
Bauchi,North East,2021-07-01,164.9
Bauchi,North East,2021-08-01,165.625
Bauchi,North East,2021-09-01,162.909090909091
Bauchi,North East,2021-10-01,164.14285714285714
Bauchi,North East,2021-11-01,165.8
Bauchi,North East,2021-12-01,166.66666666666666
Bauchi,North East,2022-01-01,166
Bauchi,North East,2022-02-01,170.714285714286
Bauchi,North East,2022-03-01,182.125
Bauchi,North East,2022-04-01,166.27
Bauchi,North East,2022-05-01,165.71428571428572
Bauchi,North East,2022-06-01,180.333333333333
Bauchi,North East,2022-07-01,200.888888888889
Bauchi,North East,2022-08-01,178.5
Bauchi,North East,2022-09-01,185.89
Bauchi,North East,2022-10-01,193.888888888889
Bauchi,North East,2022-11-01,195.14
Bauchi,North East,2022-12-01,205.555555555556
Bauchi,North East,2023-01-01,245.4
Bauchi,North East,2023-02-01,250
Bauchi,North East,2023-03-01,273
Bauchi,North East,2023-04-01,256.25
Bauchi,North East,2023-05-01,205.55555555555554
Bauchi,North East,2023-06-01,547.777777777778
Bayelsa,South South,2019-01-01,145.777777777778
Bayelsa,South South,2019-02-01,145.25
Bayelsa,South South,2019-03-01,145.25
Bayelsa,South South,2019-04-01,148.636363636364
Bayelsa,South South,2019-05-01,146
Bayelsa,South South,2019-06-01,146.25
Bayelsa,South South,2019-07-01,145.55
Bayelsa,South South,2019-08-01,146.78
Bayelsa,South South,2019-09-01,146.75
Bayelsa,South South,2019-10-01,146.692307692308
Bayelsa,South South,2019-11-01,146.454545454545
Bayelsa,South South,2019-12-01,146.9090909090909
Bayelsa,South South,2020-01-01,146.91
